key,volume,scan,title_page,frontispiece,annotations,shelf_mark,copyright
ms_1,,http://digital.bodleian.ox.ac.uk/inquire/p/06cfa3b7-2aad-465e-88ac-0ebe3f2b5d13,,,,"Oxford, Bodleian, D'Orville, 301, 001-371",
ms_2,,http://gallica.bnf.fr/ark:/12148/btv1b107229634/f5.image,,,,"Paris, Bibliothèque Nationale, Gr., 2466, 001-241v",
ms_3,,http://digi.vatlib.it/mss/detail/178321,,,,"Vatican, Vaticana, Vat.gr., 0190, 003-292",
ms_4,,http://opac.bmlonline.it/Record.htm?record=576912439419,,,,"Firenze, Laurenziana, Plut., 28.03, 001-189",
ms_5,,http://badigit.comune.bologna.it/books/A18/scorri.asp?Id=1,,,,"Bologna, BC dell'Archiginnasio, Fonds Principal, A 0018, 001-136",
ms_6,,http://badigit.comune.bologna.it/books/A19/scorri.asp?Id=1,,,,"Bologna, BC dell'Archiginnasio, Fonds Principal, A 0019, 036-316",
ms_7,,http://data.onb.ac.at/rec/AL00116256,,,,"Vienna, ÖNB, Phil.gr., 031, 001-254",
ms_8,,,,,,"Istanbul, Topkapi Sarayi Müzesi Kütüphanesi, Fonds principal, 001, 003-63",
ms_9,,http://gallica.bnf.fr/ark:/12148/btv1b10723139w/f22.image.r=2344#,,,,"Paris, Bibliothèque Nationale, Gr., 2344, 017-366v",
ms_10,,http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000620182&keyworks=euclides,,,,"Firenze, Laurenziana, Plut., 28.01, 245-326v",
ms_11,,http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000324726&keyworks=euclides,,,,"Firenze, Laurenziana, Plut., 28.06",
ms_12,,http://opac.bmlonline.it/Record.htm?record=789012450729,,,,"Firenze, Laurenziana, Plut., 87.16, 357r-383v",
ms_13,,http://gallica.bnf.fr/ark:/12148/btv1b11000284r/f10.image.r=2345,,,,"Paris, Bibliothèque Nationale, Gr., 2345, 006-239",
ms_14,,http://digi.vatlib.it/mss/detail/Vat.gr.192,,,,"Vaticano, Vaticana, Vat.gr., 192, 003-95",
